Language,Content
ZH,哦 跟 渊博 一样 哦
ZH,哇 好厉害
ZH,他 有 找到 工 吗
ZH,哇 就 直接 就 有 工 了
ZH, 对 咯 你 刚刚 骗人
ZH,什么 我 没有 偷 哦
EN,let's attempt
ZH,你 觉得 不会
ZH,偷 什么
ZH,不可能
ZH,他 真的 把 雪晶 当成 他 以后 要 嫁 娶 的 人 吶
ZH,就 他
ZH,耶
ZH,劈腿
ZH,他 找 谁 他 混来混去 就是 我们 两个 诶
EN,yea loh
EN,(eh) not long term long distance
ZH,就 他们 俩 个 很 在乎 彼此 啊
EN,ya loh
ZH,她 要
ZH,因为 她 觉得 很 没有 诚意
ZH, 所以 其实 大家 都 有 在 看
EN,lynna tan
EN,one of the-
EN,one of the you know
EN,around like
ZH,几 好像 是 几个月 而已
ZH,如果 我 没有
ZH,不知道 哎 我 很 没有
ZH,(恩) 三岁 两岁
EN,em noh
ZH,(恩) 不懂 诶 就
ZH,我 不知道 诶 可能 会 吧
EN,tan-yao-jun
EN,wait ah
ZH,没有
EN,not bad not bad
EN,in the- yah
EN,zai
ZH,唉呀 哇
ZH,就 你 看 我 这样 讲 就会 有 这种 声音
ZH,可是 你的 就 没有 可是 只有 一 就 这里 就 全部 没有
ZH,你 了解 吗
ZH,是 咩
ZH,哦 你 讲 明天 做 什么 啊
ZH,我 做
ZH,不要 啦 我们 就
ZH,两 那个 两百磅 美女
EN,ya
EN,so quite cool
ZH,什么 来 的
ZH,好看 咩
ZH,哦 好看 啊
EN,cause we pon
ZH,很 有 雅兴 诶 你们 大家
ZH,好看 你 应该 去 看 真的 很 好看
ZH,诶 很 sian noh
ZH,他 去 告状
EN,uh-huh
EN,look
ZH,哦 这个 我 这个 话 我 听过 搞笑 啊
ZH,神奇
ZH,什么
ZH,哦 你 找到 那架
ZH, 搞笑
ZH, 高兴
EN,so what's the plan later
ZH,就 做 整天 那种
ZH,他 就 在 那边 开始 骂 了 他 讲 浪费 他 的 时间 哪 还是 什么
ZH,有 你 有没有 看 他 的裤子
ZH,他 穿 那个 裤 跟 鞋 等下 他 回去 他 换 那个 衣
EN,leather shoe
ZH,好 sian
ZH,应该 是 有 进 了 hoh
ZH,对 呀 就
ZH,他们 很 cui 咩
ZH,哦 那个 书
ZH,你 讲 你 的 先 你 讲 完 先 我 要 听
EN,try to like
ZH,哈 你 这样 会 伤 了 他 的 心 诶
EN,comment on it and like
EN,okay but he will be very sad
EN,oh well
ZH,有 有 有 他 有 给 我
ZH,哦 有 有 有
ZH,就 对 那些 小孩子
ZH,了解
EN,understand
ZH,明天 是*
ZH, 搞笑 啊
ZH,就是 你 猜 什么 来的
EN,cool right
ZH,你 懂 那个 goreng-pisang 那个 炸的 吗
ZH,真的 有
ZH,我 真的 有 我
ZH,那时候 我 去
ZH,那时候
EN,fish and co.
ZH,他 讲 他 在 日本 买的
EN,(erm) grant hyatt h.r.
EN,n.t.u oh
EN,two k.
ZH,去 泡咖啡 那个
EN,engineering job
ZH,哇 诶  啊
ZH,超 酷 啊 天天 要 这种
ZH,就 是 去年 的 事情 今年 你 就 我 就 不会 做 这种 酱
ZH,这样 这样 <unk> <unk> 的 事 啊
ZH,哦 不懂 唉
ZH,好像 有 诶
ZH,诶 五百块 还是 一千块 pai-sei
ZH,不一样 嘛
EN,yah yah yah
EN,eh yah different noh
ZH,读 了 都 读 了 都 要 读 完 了
ZH,哈 你 没 看出 是 陈爸 咩
ZH,就 他 啊 陈爸 啊
ZH,我 讲 陈爸 哦 我 讲 诶 叫 我 拍 一下 他 就 酱 哦
EN,something like that i don't know
EN,yah ah
ZH,有 咩
ZH,耶 差不多
ZH,讲 多 七分钟
ZH,这个 是 我 超爱 超爱 超爱 的 结果 找 了 全 新加坡 我 都 找不到 <unk> 也 找不到 就 <unk>
ZH,对对
ZH,就 去年尾 还是 去年 就 一年多 两年 的 事
EN,wrong direction
EN,yah
ZH,就 食物 多
ZH,美 hor
ZH,可是 就 很
ZH,东西 不见 因为 根本
ZH,是 我爸 的 妈
EN,yes
ZH,你 懂 他 会 怎样 去 分钱
ZH,就 因为 她 在 家里 自己 吃 她 就 很 多 她 就 很 大只
EN,like chit-chat those kind
ZH,就 十块 十块 五 就 五十块 那种
ZH,我们 每次 就
EN,wah two more minutes
ZH,我 不知道 就 不见 了 咯
ZH,就 真的 不见 了
ZH,我们
ZH,进 啊 没有
ZH, 等一下
ZH,我们 拿 多少 分 啊 到 最后
ZH,算
ZH,一百
ZH,八十六 加 八十 加
ZH,一 六
ZH,我 拿 一 五 八
ZH,哦 哦
EN,oh my god
ZH,没有 啦 我 拿 比较 高 一点点 一 五 八
ZH,诶 还是 我 是
ZH,huh 十几 号 讲 多 一次 十一月 十号
ZH,十月 十一号
EN,not very so wish
ZH,十 号 十月 对不对 啊
EN,cause
ZH,哎哟 十月 十号 听起来 像是 很 没有空 的 时候 哩
ZH,很 早 很 早 哎呀 我 忘记 了 去年 几时 啊
EN,cause ah individuals final (rr)
EN,pre- team
ZH, 就 给 我们 射 先 哪
EN,quite difficult
ZH,哎哟 会 有 失手 的 时候
EN,<unk> wah lau
ZH,赢 我们 二十多
ZH,什么 意思
ZH,huh 他们 才 五六多
EN,ah wait what you mean
ZH,对 呀 他们 的 五六多 是
ZH,huh 这样而已 啊 我 还以为 是那种 过 六头 的 诶
EN,yeah
EN,five days oh
EN,my god
EN,yah man
ZH,我们 (呃) 我 我 讲 若惠
ZH,他 就 讲
EN,then
ZH,他 就 讲 (emm)
ZH,唉呀 差不多 啊 若惠 她 讲 她六点多
ZH,哈
EN,ya lah loh
ZH,我 没有 驾车
EN,then-
ZH,我 就 看到
EN,then after that
ZH,庆辉 就 问
EN,is it
ZH,他 就 会
ZH,他 就 碎碎念 碎碎念
EN,(er) i checked the calendar already then
ZH,她 就 讲
ZH,(呃)
EN,dot dot dot
EN,(er)
EN,i said
EN,no
EN,your message say today
ZH,(诶)
EN,umm
EN,we were chatting chatting
ZH,讲 了 什么 东西
ZH,唉呀 我 忘记 了 了 唉
ZH,啊 啊
EN,(err) the for one more day
EN,you mean lend me for one more day
EN,today is tuesday
EN,oh
EN,an-ah
ZH,我 就 beh-tahan 他
EN,oh my god saturday night and you are at home
EN,(em)
EN,always at home after work go home
ZH, 刚才 瑞宝 跟 我 讲
ZH,对 哦 对 哦
ZH,那个 叫 什么 名
ZH,那个 叫 什么 名 我们 那个 啊 对
EN,<unk>
ZH,唉呀 不 认识 啦
EN,stress
ZH,因为 他 每次 (呃)
ZH,(呃) 读不完
EN,as in
ZH,屁 哦
ZH,我 没有 什么 打算 要 做 诶
ZH,忘记 了
ZH,他们 呸 呸 呸
EN,alvin
ZH,我 不懂 诶
ZH,唉呀
ZH,打包
EN,that's why i.o. mah
ZH,哈 我 现在 就 一直 认为
ZH,不要 啦 算了 啊
ZH,忘记 了 八个 吗 十个 八个
EN,half what
EN,ya ya lor
EN,ten weeks
EN,oh ya oh ya ten weeks
EN,then six a.u.
EN,(emm)
EN,not that you cannot find a job lah but
ZH,没有 啊
ZH,唉呀 就 不是 很难
ZH,(哦)
ZH,就 连 我
ZH,一边 在 做 考试 的 时候 一边 在 想
ZH,唉 是不是 应该去 (呃) (呃)
EN,but okay lah now that i think about it
ZH,我 就 还 挺
EN,ok with
EN,nua nua
ZH,(啊)
EN,ya inventory da da da da da
ZH,(呃) (呃)
ZH,后来
EN,introduction to entrepreneurship
ZH,对 对 而且
EN,hopefully lor
ZH,那种 根本 都 没有 什么 做 出来 的
EN,so how
EN,what so how go and bath and get my ass out of the house lah what so how
ZH,我 就 诶
ZH,奇怪 为什么 我 昨天 会 觉得
ZH,我 就 无缘无故 早 半个 小时 起来 了 了
ZH,我 就 已经 慢慢 拖 慢慢 拖
ZH,对 咯
ZH,除非 你 是 讲
EN,(um)
EN,depot
EN,station
EN,so-
ZH,它 就
EN,usual what
ZH,我 有 看 过 几次
ZH,那 就 算了 咯 我 等
ZH,因为 它 空的 我 就 不 介意
EN,ya but-
EN,as in you get what i mean
ZH,(呃) 就 变成
ZH,没有 那个 中间的 的话
ZH,这样 我 就 不会 这样 麻烦 去 我 二 姐 家
EN,punggol ah
ZH,可是 其实 它 就 很 靠近
ZH, 我 就 每次 觉得 很 笨
EN,why
ZH,新的 屋子 都 这样子 所以 他们 很多 人 都 要 买 旧的 屋子
ZH,哪 他 的 电脑 可以 用
EN,hah
ZH,hor 啧 啧 啧 啧 啧
ZH,真快 我们 老了 怎么 我们 认识的 人 都 要 结婚 了
ZH,大 几岁
ZH,啧 啧 啧 你 几时 你 应该 二十七 也是 可以 了
ZH,可是 如果 你 出来 的话
ZH,啊 诶 你们 在一起 多久 啊
ZH,诶 你 今年 二十一 哦
ZH,拜五 呢
ZH,你 要 生
ZH,不 就 跟 你 讲 那个 他 女朋友 跟 一 另外 一个 男的 跑路 那个
ZH,我 不 懂 我 可能 没 跟 你 讲过 对
ZH,而且 你 听过 那个
EN,(erm) pinnacle at duxton
ZH,对 那个 超贵 超贵
ZH,对 然后
EN,then the thing is (um)
ZH,因为
ZH,到 我 gor-gor 他 在
ZH,那个 女 的 的 妈妈 就 一直 问 诶 你们 几时 要 (呃) 结婚 几时 要 申请 屋子
EN,as in not a bad investment nah
EN,of course lah ya then
ZH,那个 ang-mo
EN,instead of-
ZH,对 而且 我 跟 那个 女的
EN,so i got i.c.q. m.s.n. then sometimes when i talk to her or tell her rubbish like
ZH,哎呀
EN,(erm) any amount or something like that
ZH,他们 就 讲 不懂 要
ZH,怎样 嘞
ZH,现在 我 不懂 她们 有没有 在 讲话 了 啦
ZH,就
EN,that's quite a lot of money
EN,month- monthly allowance lah
EN,ya lor pinnacle at duxton neh ok anyway then
ZH,不懂 啊 因为 还 没有 到 那个
ZH,我 根本 都 没有 看到 那个 我 都 不懂 那个 在 <unk>
ZH,对 我 就 跟 每个人 讲
ZH,大 我 四岁 吧
EN,i mean hello if you are first class honors
ZH,(嗯)
ZH,或者
EN,ya lor then
ZH,后来 过了 那个 女 的 之后 他 过了 一下子 他 又 跟 另外 一个 女 的 在一起
EN,(erm) there's no cure for it and-
EN,i- it's ok lah
EN, then (um)
EN,ya lor that hoo
EN,that feeling
ZH,哦 <unk>
ZH,吃 了 饭 两 点 多 的 时候 我 下去
EN,ya so-
ZH,对 我 也 不懂 去年 哪里 都
ZH,诶 等一下 你 不要 这样 转 转 转
ZH,diao 你
ZH,hor 诶 昨天
ZH,我 大姐
EN,no i'm a children everybody thinks i'm a children my mummy say i'm a children your mummy said i'm a children i'm a child also
EN,february march
EN,january
EN,november december
EN,three six nine twelve twelve months
EN,apparently mathew knows how to do multiplication before he can do addition
EN,four
EN,eight
ZH,他 就
EN,i think he said sixteen
EN,or rather i don't have a grandma to start with
EN,oh this one i saw before already but thanks anyway
EN,(err) that
EN,addition is not- i never say addition is not- (er) multiplication is not a form of addition nah i just- i'm just telling you that you say (um) square is not a
EN,no up no down already i don't want no left no right already i don't want to purposely unnecessary things also argue with you
ZH, 还有 多久
ZH,四十
ZH,没有 啦 四十八 分钟
ZH,哈 哈 哈
EN,mathematical problem lah
EN,plus t.w.o. two
EN,numbers either from zero to nine you will be able to
EN,(emmm)
EN,t. w. o.
EN,plus t.w.o. equals to four
EN,into like anything from zero to nine right
ZH,就 猜 呀
EN,the rules what are the constraints that we might have
EN,discussion
ZH,一个
EN,three plus three
EN,have to be things like four
EN,six or eight
ZH,这个
ZH,这个 得 要 是
ZH,就 比较 小 的 号码 来的
ZH,(um) 一定 要 是 什么
ZH,做 这种 有的 没有的 东西
ZH,后来 我们 来 猜 如果 是
ZH,八
ZH,三
ZH,六
ZH,二 七
ZH,十六
ZH,九 三
ZH,七 十八 这个 也 可以
ZH,你 讲 七 四 六
ZH,七 四 六 乘 七 四 六 这个 二
ZH,九
ZH,十四
ZH,我们 只 找到 两个 而已 啦
ZH,我们 这样 找 的 时候 我 就 讲
EN,does it mean (um)
ZH,七 三 四 也 可以
ZH,我 就 这样 问 他 因为
ZH,他 就 这样 讲 是 应该 不可以 因为 (呃)
ZH,后来 我 就 这样 算
ZH,可以 呀
ZH,难道
ZH,六 三 二 也 可以
ZH,我们 懂 六 三 二 不可以 因为
ZH, 因为 六 六
ZH,对 我 就 真的 觉得 那个 耀辉 很 zai
ZH,然后 他们 就 哇 对
EN,amazing oh
ZH,对 他 就 跟 瑞宝 一样
ZH,我 找不到 我 另外 一支 笔 诶
ZH,(诶) 应该 可以 吧 他 应该 抓不到
ZH,瑞宝 跟 雪晶
ZH,真的 啊
EN,as in not that
ZH,真的 咩 你 看 蔡瑞宝
ZH,当然 哪
ZH,雪晶 也是 应该 把 他 当成 要
ZH,嫁 的 人
ZH,帮 她 还钱
ZH,喔
ZH,可是 我觉得 我 不懂 诶 我 就 会 觉得 说 可能
EN,as in-
ZH,我 也是 没有 什么 东西 看 的
ZH,结婚 了
ZH,因为 <unk>
ZH,幸福
ZH,如履薄冰  哇 你 懂 那天
EN,cool man
EN,shall wait for the re-proposal
ZH,这 名字 很 熟 诶 谁 来的
EN,ooh
ZH,他们 是 在一起 几个月
EN,was attached
ZH,哇 都是 <unk> 进来 唉
ZH,我 看 他 大 我 三岁 哦
ZH,因为 我 不懂 我 gor-gor 是
EN,re-proposal
EN,history
EN,yaaa
ZH,他 的 华文 名 是
ZH,自由 的 由 飞翔 的 翔
ZH,由翔 很 酷 啊 他 名字
ZH,他 就 讲 (哦) (呃) 你 也 可以 叫 我 由翔
ZH,就 叫 我 由翔 自由 的 由 飞翔 的 翔
ZH,你 做 么
ZH,哇  疯掉 啊
EN,like
ZH,是 什么 我 的 话 比较 多 吗 还是 比较 大声
ZH,重来 讲 多 一次
ZH,因为 我 在 讲话
ZH,的 那个 声量 都 比较 大声
EN,title
EN,sounds quite familiar
ZH,什么 什么
EN,oh two hundreds pounds beauty
EN,(er) over heard
ZH,哦 啊 我们
EN,ya i think the first one we went
EN,causway-point
EN,no in the end we didn't go causway-point we went yi-shun
EN,last week last week
ZH,惨 喏
ZH,要 去 慢慢 搞 出来
ZH,(呃) 我的
ZH,没有 没有 没有 那时候 还 没有 他 讲
ZH,我 也 不懂 之后 我 jitao 诶
ZH,糟糕
ZH,做 什么
EN,again
EN,(errr) i think i crashed the server alan is trying to help me fix now
EN,very good
EN,the- she crashed server
EN,that was like last last last week then
ZH, 上个 礼拜 我 就 讲
EN,network until now still got problem
EN,ok lor that was what i was gonna do next
ZH,那架 (um) 不要 用 那架 啊
EN,the v~ the the screens that i
ZH,他 就 开 他 电脑 他 就
EN,alan said
ZH,就 (嗯)
EN,why you must reboot why you cannot just restart that thing
EN,just in case mah how i know ah e-ah
EN,ya lah
ZH,咳
EN,(er) the server shall we tell him that his
EN,favorite f. y. p. student crashed the server
ZH,或者 我 看 蔡瑞宝 怎样 咯
ZH,他 没有 跟 我 讲
ZH,昨天
ZH,没有 注意 看
ZH,对 咯 超 搞笑
ZH,哇 十月 十号
EN,then (um)
ZH,弟弟 一本 书
ZH,对 呀
EN,that's why i said i did something evil what
EN,too bad i think he needs to learn
ZH,他 也是 一个 很喜欢 找 吵架 的 家伙
ZH,啊 那个
ZH,你
ZH,你 讲 得 好像 我们 的 生命 比较 值钱 那些 小孩子 生命 没有 这样 值钱
ZH,听 了 就 还 挺 不爽 的
ZH,就是 不想 对 他 有
EN,anything at all
EN,f.y.p. lab and
ZH,嗷嗷嗷 给 我 开心 一下
ZH,我 根本 都 不愿意 放 那个 照片 哦 神经病
EN,jackfruit
EN,looks like jackfruit lah
EN,cem pa dak
EN,hoh
ZH,对 我 从来 也是 没有 看过
EN, what the hell
ZH,真的 有 这样 大粒 咩 你 你 是 在 夸张 吗
ZH,你 你 刚才 你 好大粒 你 越 讲 还没有 讲到 半个 小时 的 时候 变 这样
EN,hor
ZH,唔 可以 看 其他 的 照片 吗
ZH,铜锣烧
EN,you know like jocelyn
EN,my god masters in h.r.
EN,how much is she paid man
ZH,huh 等一下
EN,wow
ZH,那种是 gaogao
EN,ah sketch book
EN, nice of you ah
ZH,有 咩 他们 长得 像 不像 是 有 前途 做 这种 事情 诶
ZH, 哦
ZH,我 还 以为 伟杰 现在 读书 唉
ZH,那个 什么 啊
ZH,我 想不起 陈爸 长的 这个 样子 啊
ZH,借 你 拍 一下
ZH,搞笑 陈爸 啊
ZH,陈爸 很 不适合 我 知道
ZH,哇塞 啧 啧 啧
ZH,这个 在 哪里
EN,looks nice
EN,ya man
EN,would be excited
ZH,就 哎哟 我 都 不懂 我 想 这 是 谁
ZH,<unk> 我 五年 没有 见 到 了 了 唉
EN,oh my god but ya it looks very very very chio
ZH,呃啊
EN,ah cadet mates
EN,excited
EN,changi beach ah
EN,eh sounds very familiar eh
EN,sailing
EN,cool
ZH,黑 跟 金 那个
ZH,啊 啊 啊 讲 讲 讲
ZH,是 他 妈 诶
ZH,分钱
ZH,她 干吗 藏 在 那里 是 她 不小心 掉 在 那里
ZH,而且 还 嘻嘻嘻
EN,one kind
EN,shit
ZH,我 就
ZH,我 的 帅 管家
ZH,少女 漫画
ZH,我 也 不知道 那个 女的
ZH,好
ZH,好 可以
ZH,就 是 那种 男的 帅 然后 女的 是 麻雀 变 凤凰 那种 咯
ZH,那个 女的 千金大小姐 她 是 土包子 的 千金大小姐
ZH,诶 你 知道 那种 唉呀 爸爸 去 跟 妈妈 去 那个 哪里
ZH,没有 没有 爸爸 爸爸 爸爸 不要 跟 家里 在一起 了 因为
ZH,对 啊 结婚 可是 他 背叛 她 不是 背叛 就
ZH, 只有 一个 女的  她 是 他 的 未婚妻
ZH,可是 他 喜欢上 另外 一个 女孩子
ZH, 所以 他 就 离开 家庭
ZH,自己 去 开 一间 小小的 店
ZH,开店 乌冬 的 店
ZH,然后 就 生 了 他 女儿 从 小 就 不知道 她 是 他 的
ZH,然后 突然间 她 爸妈 死掉 车祸 还是 怎么样 我 忘记 了 然后
ZH,没有 财产 她 爷爷 还在
ZH,然后 他 就 派 一个 水岛宏 嘛 水岛宏 就 来 然后 就 跟 她 讲 说 啊 我 是 你 的 管家 什么的 你 要 去 读书 当 个 小姐 之类 的 东西
ZH, 可是 我 不 觉得 她 很 漂亮
ZH,松本润 很 丑 啊
ZH,烂名字 还 什么 我 的 妹妹
ZH,谁 跟 谁
ZH,咦
ZH,就 乱伦 哪 就 摆明了 不可以 在一起 还 还 干吗
ZH,(呃) 很 无聊 啊 就 摆明了 摆明了 啊
ZH,可是 我 就 不大 喜欢 她 可是 哇
ZH,我 从 前面 开始 诶 然后 他 就 把 她 接过去 那间 学校 嘛
ZH,所以 她 的 管家 就是 那个 水岛宏
ZH,那 是 水岛宏 的 弟弟 他 不是 管家 来的 他 本来 是 她 的 朋友
ZH,所以
ZH,(erm) 他 的 家族 从 以前 都是 管家 可是 他 的 弟弟 不要 做 管家
ZH,他 他 只可以 有 办法 当 另外 一个人 的 管家 他 就 当 二管家 有一个 大的 管家 然后 有一个 二管家 然后 他 就是 负责 捣乱 啊 那些 东西 的 了 什么 都 做 不好
ZH,好玩 吗
ZH,我 还 蛮 喜欢 的 少女 嘛
ZH,我 觉得 还不错 就 还 还 蛮 帅 的 水岛宏
ZH,有 这么 好笑 吗
ZH,qq 我 要 解释 qq 是 卷卷
ZH,你 是 还 要不要 看 的 等一下
ZH,十集 而已 诶
ZH,你 宁愿 看 那些 重新 的 东西 然后 你 不要 看 新的
ZH,谁 讲 的
ZH,有 什么 必要
ZH,然后 你 一辈子 就 一直 看 一直 看 一直 看
ZH,这样 你 有 时间 去 看 新的 啊
ZH,跳
ZH,你 看 第一集 你 就 会 知道 好不好 啦
ZH,是 人 跟 人 的 关系 的
ZH,你 喜欢 是 你 自己 看 你 喜欢 谁 跟 谁 在一起 所以 才 会 这样
ZH,做戏
ZH,网迷
ZH,网迷 你 很 烂 哪 网迷
ZH,歌迷 影迷 网迷
ZH,月如 不美 咩
ZH,仙剑 一 好像 诶 我 不记得 了
ZH,我 好像 没有 在 追 仙剑
ZH,(嗯) 不知道
ZH,哦 我 大概 知道 她 的 脸 了 还不错 啊 长头发 的
ZH,还是 曾恺玹 赞
ZH,没有 咯 我 看 那张 照片 真的 很 普通 嘞
ZH,(啧) 她 有 那种 古装 脸 吧
ZH,典型 典型的 美人脸
ZH,化 出来 的 啦
ZH,我 不知道 唉呀 他们 长得 很 差不多 咯
ZH,可是 妆 真的 差 很大 你 你 不相信 你 去 找 台湾 的 节目 一大推 那种 卸妆后
ZH,尤其 是 瞳孔放大片
ZH,瞳孔放大片 很 夸张
ZH,哦 还有 假睫毛 瞳孔放大片 加 假睫毛 然后 就 可以 把 一个 丑女 变 美女
ZH,三倍
ZH,那个 胸部 也是 啊 我爸 那时候 看 那个 (呃)
ZH,没有  无所谓 我 只是 说 它 可是 把 它 挤出来 而已
ZH,没有 我 本来 嘞 我 刚才 有 东西 要 讲 的 你 插 我 的 话
ZH,我 刚刚 讲到 差很大 啊
ZH,那个 我 看 台湾 节目 哦 一大堆
ZH,然后 我 要 讲 的 是 (啊) 他们 不是 每次 都 找 乱七八糟的 人 哦 以前 是 找 真的 那种 怪怪的 人 可是 现在 主题 越 做 越 普遍 了 就是 做 好像 我猜 的 那种 人 了
ZH,就是 那种 高中 长得 像 老人家 啊 那种
ZH,你 懂 我 意思 吗 就是 以前 就是 真的 找 那种 手 可以 放屁 (啊) 就  那个 真的 好 有意思 啦
ZH,就是 那种 怪异的 人 可是 现在 是 找 不同 人 你 看 也 不 怎么 外星
ZH,就 她 卸妆 过后
ZH,没有 就 真的 差很多 然后 就
ZH,她 因为 差很多 所以 爆红
ZH,就 网上 爆红
ZH,她 叫 喜多 还是 什么
ZH,就 没有 因为 她 会 教 你 传授 你 化妆技巧 啊 就 很多人 想 去 看 吧
ZH,谁 知道
ZH,你 去 看 那个 吗 你 讲 谁 第一名
ZH, 网址
ZH,对 那个 谁 (erm) 爱莎 不是 爱莎 麻衣
ZH,为什么 她 都是 在 讲 日常 生活 的 东西
ZH,可是 她 的 华语 真的 很 厉害 她 会 读 华语 的
ZH,对不对
ZH,是不是
ZH,然后 我 那时候 不是 跟 你 讲 那个 (嗯)
ZH,那个 主人 跟 仆人 那个
ZH,我 要 重新 讲 一遍 (啊) 就
ZH,然后 那个 主人 就 进来 然后 她 就 讲 第 那个 仆人 第一眼 看到 她 就 第一天 见面 她们 还 不认识 的 哦
ZH,第一眼 看到 她 她 就 认定 她 了 我 想 跟 她 交朋友 我 想 跟 她 也不算 在一起 啦 就是 我 很喜欢 她 她 很 漂亮 她 很 可爱
ZH,两个 都是 女的
ZH,所以 我 就 讲 四对 啊 四对 就是 女女 女女 女女 男男
